Date,AAPL,MMM,INTC,JPM,DE,WFC,BK,PM,HD,GE,Portfolio Value
2017-01-03,1161.5,1780.5,366.0,872.3000000000001,1040.5,560.0,479.6,912.3000000000001,1343.1,316.90000000000003,8832.7
2017-01-04,1160.2,1783.1999999999998,364.09999999999997,869.0999999999999,1058.1999999999998,560.5,487.1,904.2,1355.0,317.0,8858.599999999999
2017-01-05,1166.1,1777.1000000000001,363.5,861.1,1053.5,551.8,480.90000000000003,911.3,1339.0,315.2,8819.5
2017-01-06,1179.1,1782.3,364.79999999999995,861.2,1064.8999999999999,550.4,481.70000000000005,918.4000000000001,1335.3,316.1,8854.199999999999
2017-01-09,1189.8999999999999,1772.7,366.1,861.8000000000001,1051.9,542.4,476.4,913.1,1343.1,314.6,8832.0
2017-01-10,1191.1,1765.8000000000002,365.4,864.3000000000001,1048.9,546.1999999999999,477.2,905.1999999999999,1361.0,313.7,8838.800000000001
2017-01-11,1197.5,1778.8999999999999,369.5,870.8,1057.1,548.0,480.3,904.4,1357.0,314.7,8878.2
2017-01-12,1192.5,1774.4,367.1,862.4,1051.7,545.0,474.6,905.1,1350.6999999999998,313.9,8837.4
2017-01-13,1190.4,1773.8999999999999,367.9,867.0,1057.9,553.1,477.40000000000003,904.0,1350.3999999999999,313.6,8855.6
2017-01-17,1200.0,1772.6,368.0,835.5,1043.4,537.8,464.3,923.6,1359.3000000000002,312.7,8817.2
2017-01-18,1199.8999999999999,1784.9,367.59999999999997,839.4,1052.3999999999999,542.7,462.29999999999995,934.9,1361.6,312.3,8858.0
2017-01-19,1197.8,1786.8000000000002,365.7,833.0,1050.2,545.8,448.40000000000003,938.5,1353.8999999999999,312.1,8832.2
2017-01-20,1200.0,1784.9,369.4,836.7,1067.3999999999999,550.7,445.6,945.6999999999999,1356.0,305.3,8861.699999999999
2017-01-23,1200.8,1785.1,367.70000000000005,837.0999999999999,1071.2,542.5,438.7,947.6,1380.6999999999998,297.5,8868.9
2017-01-24,1199.7,1759.7,376.2,847.2,1076.7,547.0,446.3,957.8,1380.6,300.0,8891.2
2017-01-25,1218.8,1767.3,378.0,860.3,1080.6,566.1999999999999,449.09999999999997,963.9,1374.8,303.7,8962.699999999999
2017-01-26,1219.4,1768.1999999999998,375.6,867.5,1076.3,571.8,449.7,963.6,1384.6000000000001,303.2,8979.9
2017-01-27,1219.5,1774.8,379.79999999999995,869.3000000000001,1079.8999999999999,565.9000000000001,447.8,963.1999999999999,1383.3000000000002,300.1,8983.6
2017-01-30,1216.3,1754.1999999999998,374.20000000000005,860.3,1070.6,560.8,446.70000000000005,959.5999999999999,1384.7,299.6,8927.0
2017-01-31,1213.5,1748.1999999999998,368.2,846.3,1070.5,563.3,447.29999999999995,961.3,1375.8000000000002,297.0,8891.4
2017-02-01,1287.5,1751.6999999999998,365.20000000000005,849.5,1071.5,559.0999999999999,450.20000000000005,959.5,1374.4,296.90000000000003,8965.5
2017-02-02,1285.3,1741.8000000000002,366.8,845.9000000000001,1074.3000000000002,557.5,448.0,988.4000000000001,1369.5,296.8,8974.3
2017-02-03,1290.8000000000002,1750.3999999999999,365.20000000000005,871.8000000000001,1079.8999999999999,572.7,456.70000000000005,1011.1,1379.8,297.0,9075.4
2017-02-06,1302.8999999999999,1751.0,362.70000000000005,867.6999999999999,1080.6,565.5,456.59999999999997,1000.0,1364.9,296.6,9048.5
2017-02-07,1315.3,1757.6,363.5,867.2,1087.6000000000001,563.4000000000001,454.5,1016.3,1366.5,295.59999999999997,9087.5
2017-02-08,1320.3999999999999,1770.6999999999998,363.8,859.5999999999999,1084.1,556.3000000000001,451.4,1026.3,1378.8,294.3,9105.699999999997
2017-02-09,1324.1999999999998,1781.8000000000002,354.6,872.0,1091.2,567.3,455.0,1027.7,1387.1000000000001,295.9,9156.8
2017-02-10,1321.2,1790.0,353.40000000000003,870.0,1102.3999999999999,568.6,455.6,1026.3,1398.5,297.2,9183.2
2017-02-13,1332.8999999999999,1810.2,358.0,881.5,1107.5,570.8,461.2,1027.3,1398.7,300.4,9248.5
2017-02-14,1350.2,1816.0,359.3,895.6,1100.5,579.8,468.2,1025.8,1413.6000000000001,302.8,9311.8
2017-02-15,1355.1,1817.0,360.5,905.9000000000001,1091.2,585.5,474.3,1029.3000000000002,1421.9,303.5,9344.2
2017-02-16,1353.45,1834.1,364.09999999999997,905.3,1091.7,581.1999999999999,470.7,1029.8999999999999,1415.3999999999999,304.5,9350.35
2017-02-17,1357.2,1829.5,364.79999999999995,902.3000000000001,1102.7,580.9000000000001,471.4,1036.6,1430.0,303.7,9379.1
2017-02-21,1367.0,1833.7,365.20000000000005,910.1,1096.1,582.5,475.0,1045.6,1450.2,305.2,9430.6
2017-02-22,1371.1000000000001,1860.3999999999999,360.7,910.6,1096.5,583.6,472.9,1045.3,1452.5,303.29999999999995,9456.9
2017-02-23,1365.3,1871.9,361.8,911.3,1077.3,584.9,473.40000000000003,1065.2,1447.1000000000001,300.2,9458.4
2017-02-24,1366.6,1874.1,365.3,903.3,1086.2,578.1,470.90000000000003,1077.2,1459.5,301.90000000000003,9483.1
2017-02-27,1369.3000000000002,1869.1,365.09999999999997,904.3000000000001,1095.1000000000001,580.6,471.1,1087.0,1453.0,299.40000000000003,9494.0
2017-02-28,1369.9,1863.5,362.0,906.2,1094.8999999999999,578.8000000000001,471.4,1093.5,1449.1,298.09999999999997,9487.400000000001
2017-03-01,1397.8999999999999,1898.6000000000001,359.3,936.0,1112.2,597.3,485.0,1102.2,1466.8000000000002,301.90000000000003,9657.199999999999
2017-03-02,1389.6000000000001,1898.8999999999999,359.09999999999997,921.4,1095.4,587.1,479.90000000000003,1098.0,1479.5,301.90000000000003,9610.8
2017-03-03,1397.8,1893.1,359.0,928.0,1108.3,588.9,479.5,1102.1,1478.1,301.2,9636.0
2017-03-06,1393.4,1889.0,355.7,919.2,1108.4,586.1,479.0,1097.3,1471.3,300.0,9599.4
