Date,AAPL,MMM,INTC,JPM,DE,WFC,BK,PM,HD,GE
2017-01-03,116.15,178.05,36.6,87.23,104.05,56.0,47.96,91.23,134.31,31.69
2017-01-04,116.02,178.32,36.41,86.91,105.82,56.05,48.71,90.42,135.5,31.7
2017-01-05,116.61,177.71,36.35,86.11,105.35,55.18,48.09,91.13,133.9,31.52
2017-01-06,117.91,178.23,36.48,86.12,106.49,55.04,48.17,91.84,133.53,31.61
2017-01-09,118.99,177.27,36.61,86.18,105.19,54.24,47.64,91.31,134.31,31.46
2017-01-10,119.11,176.58,36.54,86.43,104.89,54.62,47.72,90.52,136.1,31.37
2017-01-11,119.75,177.89,36.95,87.08,105.71,54.8,48.03,90.44,135.7,31.47
2017-01-12,119.25,177.44,36.71,86.24,105.17,54.5,47.46,90.51,135.07,31.39
2017-01-13,119.04,177.39,36.79,86.7,105.79,55.31,47.74,90.4,135.04,31.36
2017-01-17,120.0,177.26,36.8,83.55,104.34,53.78,46.43,92.36,135.93,31.27
2017-01-18,119.99,178.49,36.76,83.94,105.24,54.27,46.23,93.49,136.16,31.23
2017-01-19,119.78,178.68,36.57,83.3,105.02,54.58,44.84,93.85,135.39,31.21
2017-01-20,120.0,178.49,36.94,83.67,106.74,55.07,44.56,94.57,135.6,30.53
2017-01-23,120.08,178.51,36.77,83.71,107.12,54.25,43.87,94.76,138.07,29.75
2017-01-24,119.97,175.97,37.62,84.72,107.67,54.7,44.63,95.78,138.06,30.0
2017-01-25,121.88,176.73,37.8,86.03,108.06,56.62,44.91,96.39,137.48,30.37
2017-01-26,121.94,176.82,37.56,86.75,107.63,57.18,44.97,96.36,138.46,30.32
2017-01-27,121.95,177.48,37.98,86.93,107.99,56.59,44.78,96.32,138.33,30.01
2017-01-30,121.63,175.42,37.42,86.03,107.06,56.08,44.67,95.96,138.47,29.96
2017-01-31,121.35,174.82,36.82,84.63,107.05,56.33,44.73,96.13,137.58,29.7
2017-02-01,128.75,175.17,36.52,84.95,107.15,55.91,45.02,95.95,137.44,29.69
2017-02-02,128.53,174.18,36.68,84.59,107.43,55.75,44.8,98.84,136.95,29.68
2017-02-03,129.08,175.04,36.52,87.18,107.99,57.27,45.67,101.11,137.98,29.7
2017-02-06,130.29,175.1,36.27,86.77,108.06,56.55,45.66,100.0,136.49,29.66
2017-02-07,131.53,175.76,36.35,86.72,108.76,56.34,45.45,101.63,136.65,29.56
2017-02-08,132.04,177.07,36.38,85.96,108.41,55.63,45.14,102.63,137.88,29.43
2017-02-09,132.42,178.18,35.46,87.2,109.12,56.73,45.5,102.77,138.71,29.59
2017-02-10,132.12,179.0,35.34,87.0,110.24,56.86,45.56,102.63,139.85,29.72
2017-02-13,133.29,181.02,35.8,88.15,110.75,57.08,46.12,102.73,139.87,30.04
2017-02-14,135.02,181.6,35.93,89.56,110.05,57.98,46.82,102.58,141.36,30.28
2017-02-15,135.51,181.7,36.05,90.59,109.12,58.55,47.43,102.93,142.19,30.35
2017-02-16,135.345,183.41,36.41,90.53,109.17,58.12,47.07,102.99,141.54,30.45
2017-02-17,135.72,182.95,36.48,90.23,110.27,58.09,47.14,103.66,143.0,30.37
2017-02-21,136.7,183.37,36.52,91.01,109.61,58.25,47.5,104.56,145.02,30.52
2017-02-22,137.11,186.04,36.07,91.06,109.65,58.36,47.29,104.53,145.25,30.33
2017-02-23,136.53,187.19,36.18,91.13,107.73,58.49,47.34,106.52,144.71,30.02
2017-02-24,136.66,187.41,36.53,90.33,108.62,57.81,47.09,107.72,145.95,30.19
2017-02-27,136.93,186.91,36.51,90.43,109.51,58.06,47.11,108.7,145.3,29.94
2017-02-28,136.99,186.35,36.2,90.62,109.49,57.88,47.14,109.35,144.91,29.81
2017-03-01,139.79,189.86,35.93,93.6,111.22,59.73,48.5,110.22,146.68,30.19
2017-03-02,138.96,189.89,35.91,92.14,109.54,58.71,47.99,109.8,147.95,30.19
2017-03-03,139.78,189.31,35.9,92.8,110.83,58.89,47.95,110.21,147.81,30.12
2017-03-06,139.34,188.9,35.57,91.92,110.84,58.61,47.9,109.73,147.13,30.0
2017-03-07,139.52,189.09,35.8,91.41,110.24,58.3,47.67,110.55,146.02,29.86
2017-03-08,139.0,189.51,35.62,91.21,110.47,58.21,48.19,109.72,146.92,29.8
2017-03-09,138.68,189.9,35.82,91.57,109.58,58.7,47.93,110.28,146.62,29.66
2017-03-10,139.14,191.21,35.91,91.28,109.92,58.85,48.17,110.54,146.85,30.28
2017-03-13,139.2,191.52,35.16,91.36,109.88,58.7,48.35,111.02,147.43,29.86
2017-03-14,138.99,190.33,35.18,91.51,109.21,58.76,48.26,110.77,147.16,29.54
2017-03-15,140.46,191.2,35.1,91.73,110.79,58.71,48.33,112.42,147.95,29.76
2017-03-16,140.69,190.31,35.14,91.64,110.73,59.32,48.47,112.7,148.73,29.75
2017-03-17,139.99,192.36,35.27,90.68,110.45,58.67,47.91,113.0,149.6,29.88
2017-03-20,141.46,193.01,35.43,90.03,110.88,57.63,47.21,114.01,147.8,29.74
2017-03-21,139.84,192.13,35.04,87.39,109.61,55.85,46.42,113.49,146.61,29.39
2017-03-22,141.42,192.22,35.37,87.53,109.77,55.33,46.16,113.0,147.36,29.53
2017-03-23,140.92,192.14,35.27,87.39,109.53,55.25,46.28,112.95,147.99,29.62
2017-03-24,140.64,191.51,35.16,87.29,108.98,55.83,46.25,111.79,147.71,29.72
2017-03-27,140.88,190.43,35.39,87.24,107.16,55.39,46.25,112.38,146.87,29.44
2017-03-28,143.8,190.99,35.6,88.6,108.33,55.96,47.0,112.8,147.2,29.62
2017-03-29,144.12,190.68,35.57,88.27,108.18,55.67,46.72,113.4,147.04,29.68
2017-03-30,143.93,191.28,35.75,89.03,109.17,56.24,47.53,113.52,146.95,29.87
2017-03-31,143.66,191.33,36.07,87.84,108.86,55.66,47.23,112.9,146.83,29.8
2017-04-03,143.7,190.72,36.16,87.52,108.78,55.49,47.13,112.91,146.62,29.88
2017-04-04,144.77,190.19,36.28,87.31,109.5,55.2,46.97,113.45,146.34,30.02
2017-04-05,144.02,190.24,36.22,86.19,109.25,54.98,47.0,113.19,146.64,29.97
2017-04-06,143.66,189.89,36.03,86.48,110.44,55.37,47.31,112.59,147.24,29.93
2017-04-07,143.34,189.99,36.03,86.18,109.32,54.84,47.15,113.6,147.13,29.99
2017-04-10,143.17,189.71,35.8,85.88,109.63,54.54,47.06,113.05,148.21,30.01
2017-04-11,141.63,190.07,35.74,85.73,111.16,54.16,47.26,113.42,148.2,30.04
2017-04-12,141.8,189.7,35.63,85.4,109.35,53.12,46.89,113.78,146.54,29.77
2017-04-13,141.05,188.65,35.25,84.4,108.0,51.35,46.42,113.06,145.91,29.56
2017-04-17,141.83,190.36,35.48,85.86,108.8,52.72,47.05,114.74,147.31,29.64
2017-04-18,141.2,190.22,35.765,85.16,108.47,52.45,46.89,115.21,147.76,29.84
2017-04-19,140.68,189.83,35.91,84.46,108.22,52.15,46.86,113.91,147.22,30.0
2017-04-20,142.44,191.16,36.18,85.55,108.8,53.5,46.65,109.98,148.72,30.27
2017-04-21,142.27,191.5,36.32,84.52,107.54,53.0,46.75,109.62,150.0,29.55
2017-04-24,143.64,194.23,36.75,87.5,110.25,53.65,47.55,112.39,151.89,29.55
2017-04-25,144.54,195.13,36.87,88.26,113.15,54.56,47.225,113.09,153.03,29.45
2017-04-26,143.6508,195.0,36.93,88.43,112.55,54.54,47.15,111.15,154.22,29.26
2017-04-27,143.79,196.11,37.43,87.61,111.18,54.44,47.22,110.19,156.12,29.08
2017-04-28,143.65,195.83,36.13,87.0,111.61,53.84,47.06,110.84,156.1,28.99
2017-05-01,146.6,194.81,36.31,87.06,111.97,54.46,47.18,110.55,154.21,28.94
2017-05-02,147.51,196.53,36.98,86.5,110.93,54.54,47.12,110.47,154.95,28.99
2017-05-03,147.06,197.63,36.9601,87.0,110.79,54.85,47.4,110.61,155.0,29.23
2017-05-04,146.53,199.51,36.85,87.1,112.03,55.18,47.61,111.2,154.86,29.2
2017-05-05,148.96,199.4,36.82,87.0,113.11,55.11,47.65,112.25,155.73,29.22
